Topic Number,Play_Act,Latin Keywords,English Keywords,Themes,Topic Name
1,seneca-octavia_act7 (0.997),princeps,,,
1,seneca-octavia_act4 (0.987),iactatus,,,
1,seneca-octavia_act1 (0.006),suscito,,,
1,seneca-agamemnon_act3 (0.002),misero,,,
1,seneca-octavia_act6 (0.000),fascis,,,
1,,penna,,,
1,,inuideo,,,
1,,uxor,,,
1,,demens,,,
1,,suspicio,,,
2,seneca-oedipus_act5 (0.998),parricida,,,
2,seneca-medea_act1 (0.979),praecingo,,,
2,seneca-oedipus_act2 (0.003),pario,,,
2,seneca-octavia_act4 (0.000),cauus,,,
2,seneca-octavia_act6 (0.000),ratus,,,
2,,fata,,,
2,,fas,,,
2,,gnatus,,,
2,,dependeo,,,
2,,sator,,,
3,seneca-phaedra_act1 (0.999),currus,,,
3,seneca-phaedra_act4 (0.498),caerulus,,,
3,seneca-thyestes_act4 (0.436),truncus,,,
3,seneca-oedipus_act2 (0.388),exta,,,
3,seneca-phoenissae_act2 (0.159),intractabilis,,,
3,,trames,,,
3,,curro,,,
3,,ligo,,,
3,,iuve,,,
3,,penetralis,,,
4,seneca-troades_act4 (0.998),ratis,,,
4,seneca-oedipus_act4 (0.998),grex,,,
4,mussato-ecerinis_act4 (0.996),pelagus,,,
4,seneca-agamemnon_act3 (0.317),uelum,,,
4,mussato-ecerinis_act1 (0.076),classis,,,
4,,prora,,,
4,,for,,,
4,,lacrimo,,,
4,,memoria,,,
4,,sors,,,
5,seneca-phoenissae_act3 (0.993),bruma,,,
5,seneca-hercules-oetaeus_act2 (0.083),altrix,,,
5,seneca-hercules-furens_act3 (0.005),neo,,,
5,seneca-octavia_act4 (0.000),diligo,,,
5,seneca-octavia_act6 (0.000),concilio,,,
5,,pugna,,,
5,,subrectus,,,
5,,nurus,,,
5,,uerno,,,
5,,gemmifer,,,
6,seneca-phaedra_act4 (0.017),tergus,,,
6,seneca-octavia_act4 (0.000),squamosus,,,
6,seneca-octavia_act6 (0.000),praetempto,,,
6,seneca-phoenissae_act2 (0.000),deuius,,,
6,seneca-phoenissae_act3 (0.000),coherceo,,,
6,,proludo,,,
6,,refundo,,,
6,,inspiro,,,
6,,cacumen,,,
6,,dumus,,,
7,seneca-octavia_act2 (0.998),exprimo,,,
7,seneca-octavia_act6 (0.232),senatus,,,
7,seneca-medea_act3 (0.024),genero,,,
