Topic Number,Play_Act,Latin Keywords,English Keywords,Themes,Topic Name
7,seneca-octavia_act4 (0.000),orbis,,,
7,seneca-phoenissae_act2 (0.000),invisus,,,
7,,armo,,,
7,,opprimo,,,
7,,consensus,,,
7,,subicio,,,
7,,diuus,,,
8,seneca-hercules-oetaeus_act5 (0.999),astrum,,,
8,seneca-hercules-furens_act5 (0.998),uoltus,,,
8,seneca-hercules-oetaeus_act1 (0.998),orbis,,,
8,seneca-hercules-oetaeus_act4 (0.888),sono,,,
8,seneca-oedipus_act3 (0.517),arcus,,,
8,,nouerca,,,
8,,gemo,,,
8,,uirtus,,,
8,,horridus,,,
8,,pestis,,,
9,seneca-agamemnon_act4 (0.995),sentio,,,
9,seneca-octavia_act4 (0.000),senus,,,
9,seneca-octavia_act6 (0.000),subsisto,,,
9,seneca-phoenissae_act2 (0.000),decido,,,
9,seneca-phoenissae_act3 (0.000),linquo,,,
9,,biga,,,
9,,incutio,,,
9,,relabor,,,
9,,fertilis,,,
9,,crudus,,,
10,seneca-oedipus_act1 (0.999),fletus,,,
10,seneca-phaedra_act5 (0.998),excipio,,,
10,seneca-phaedra_act3 (0.666),gena,,,
10,seneca-hercules-furens_act4 (0.577),strido,,,
10,seneca-thyestes_act4 (0.563),cinis,,,
10,,uastus,,,
10,,uotum,,,
10,,pondus,,,
10,,uapor,,,
10,,recipio,,,
11,seneca-phoenissae_act1 (0.999),paternus,,,
11,seneca-agamemnon_act1 (0.997),squalor,,,
11,mussato-ecerinis_act1 (0.922),insero,,,
11,seneca-thyestes_act2 (0.428),aufero,,,
11,seneca-thyestes_act3 (0.212),inimicus,,,
11,,imperium,,,
11,,pietas,,,
11,,opus,,,
11,,pugno,,,
11,,alternus,,,
12,seneca-medea_act5 (0.998),uis,,,
12,seneca-agamemnon_act2 (0.996),iussus,,,
12,seneca-medea_act3 (0.975),spes,,,
12,seneca-hercules-furens_act3 (0.968),sceptrum,,,
12,seneca-phaedra_act2 (0.863),soror,,,
12,,uentus,,,
12,,colo,,,
12,,certus,,,
12,,ratis,,,
12,,aurum,,,
13,seneca-agamemnon_act5 (0.998),uirgo,,,
13,seneca-troades_act5 (0.997),puer,,,
13,seneca-octavia_act3 (0.767),designo,,,
13,seneca-agamemnon_act3 (0.063),effreno,,,
13,seneca-octavia_act1 (0.010),semustus,,,
13,,quini,,,
13,,splendeo,,,
13,,uirago,,,
13,,obtestor,,,
13,,proueho,,,
14,seneca-octavia_act4 (0.000),effigies,,,
14,seneca-octavia_act6 (0.000),concors,,,
14,seneca-phoenissae_act2 (0.000),afflicto,,,
14,seneca-phoenissae_act3 (0.000),silentum,,,
14,seneca-octavia_act3 (0.000),exclamo,,,
14,,renovo,,,
14,,sertum,,,
14,,renouo,,,
14,,rigesco,,,
14,,sapiens,,,
15,seneca-octavia_act5 (0.997),princeps,,,
15,seneca-octavia_act1 (0.370),extinguo,,,
15,seneca-octavia_act3 (0.227),alumna,,,
15,seneca-octavia_act4 (0.000),resoluo,,,
15,seneca-octavia_act6 (0.000),caesum,,,
15,,forma,,,
15,,solor,,,
15,,misero,,,
15,,pelagus,,,
15,,sensus,,,
16,seneca-octavia_act4 (0.000),falx,,,
16,seneca-octavia_act6 (0.000),saluus,,,
16,seneca-phoenissae_act2 (0.000),subrectus,,,
16,seneca-phoenissae_act3 (0.000),concilio,,,
16,seneca-octavia_act3 (0.000),infirmus,,,
16,,uexillum,,,
16,,signifer,,,
16,,insigne,,,
16,,pugna,,,
16,,indocilis,,,
17,seneca-thyestes_act5 (0.934),daps,,,
17,seneca-medea_act1 (0.018),praeuius,,,
17,mussato-ecerinis_act3 (0.005),festum,,,
17,seneca-octavia_act4 (0.000),mensa,,,
17,seneca-octavia_act6 (0.000),coniugalis,,,
17,,libet,,,
17,,liberi,,,
17,,tenebra,,,
17,,gnatus,,,
17,,uinum,,,
18,seneca-octavia_act4 (0.000),subruo,,,
18,seneca-octavia_act6 (0.000),agrestis,,,
18,seneca-phoenissae_act2 (0.000),aedon,,,
18,seneca-phoenissae_act3 (0.000),effugium,,,
18,seneca-octavia_act3 (0.000),clementia,,,
18,,como,,,
18,,eximo,,,
18,,imperatum,,,
18,,iulius,,,
18,,paupertas,,,
19,mussato-ecerinis_act2 (0.997),lis,,,
19,mussato-ecerinis_act5 (0.997),nocuus,,,
19,seneca-thyestes_act1 (0.527),actus,,,
19,seneca-thyestes_act3 (0.291),triplex,,,
19,mussato-ecerinis_act3 (0.166),rabies,,,
19,,stagnum,,,
19,,illecebra,,,
19,,exardesco,,,
19,,stadium,,,
19,,exprobro,,,
20,seneca-medea_act4 (0.387),mortifer,,,
20,seneca-octavia_act4 (0.000),insum,,,
20,seneca-octavia_act6 (0.000),cantus,,,
20,seneca-phoenissae_act2 (0.000),uenenum,,,
20,seneca-phoenissae_act3 (0.000),gramen,,,
20,,euoco,,,
20,,sucus,,,
20,,medium,,,
20,,inuius,,,
20,,lustro,,,
21,seneca-medea_act2 (0.999),pelta,,,
21,seneca-hercules-furens_act2 (0.170),mulceo,,,
21,seneca-phaedra_act3 (0.131),sonitus,,,
21,seneca-octavia_act1 (0.026),difficilis,,,
21,seneca-thyestes_act2 (0.016),terminus,,,
21,,mutus,,,
21,,aestiuus,,,
21,,succingo,,,
21,,rubicundus,,,
21,,cognosco,,,
22,seneca-troades_act2 (0.999),fragor,,,
22,seneca-troades_act1 (0.998),dextera,,,
22,seneca-hercules-oetaeus_act3 (0.171),planctus,,,
22,seneca-hercules-furens_act2 (0.104),annus,,,
22,seneca-octavia_act1 (0.007),damno,,,
22,,cinis,,,
22,,ignosco,,,
22,,spiritus,,,
22,,reposco,,,
22,,immemor,,,
23,seneca-octavia_act4 (0.000),expono,,,
23,seneca-octavia_act6 (0.000),duplex,,,
23,seneca-phoenissae_act2 (0.000),theatrum,,,
23,seneca-phoenissae_act3 (0.000),cacumen,,,
23,seneca-octavia_act3 (0.000),diffundo,,,
23,,silex,,,
23,,uitas,,,
23,,prehendo,,,
23,,quini,,,
23,,semustus,,,
24,seneca-octavia_act4 (0.000),prehendo,,,
24,seneca-octavia_act6 (0.000),genialis,,,
24,seneca-phoenissae_act2 (0.000),auersus,,,
24,seneca-phoenissae_act3 (0.000),feritas,,,
24,seneca-octavia_act3 (0.000),praeuius,,,
24,,auspex,,,
24,,illecebra,,,
24,,legitimus,,,
24,,labes,,,
24,,sacrifico,,,
