Topic Number,Play_Act,Latin Keywords,English Keywords,Themes,Topic Name
19,seneca-octavia_act6 (0.000),arbor,,,
19,seneca-phoenissae_act2 (0.000),diuido,,,
19,seneca-phoenissae_act3 (0.000),nepos,,,
19,,fugax,,,
19,,cibus,,,
19,,mensa,,,
19,,uaco,,,
19,,pomum,,,
20,mussato-ecerinis_act5 (0.997),filia,,,
20,seneca-phoenissae_act3 (0.993),sobola,,,
20,seneca-medea_act1 (0.286),sacrifico,,,
20,seneca-agamemnon_act2 (0.034),genialis,,,
20,seneca-octavia_act4 (0.000),nocuus,,,
20,,repudium,,,
20,,murmuro,,,
20,,triplex,,,
20,,ultio,,,
20,,incendo,,,
21,seneca-phoenissae_act1 (0.999),pestifer,,,
21,seneca-phaedra_act5 (0.357),nex,,,
21,seneca-hercules-furens_act2 (0.275),dirigo,,,
21,seneca-octavia_act4 (0.000),adortus,,,
21,seneca-octavia_act6 (0.000),adsto,,,
21,,aufero,,,
21,,incito,,,
21,,paternus,,,
21,,impero,,,
21,,igneus,,,
